SA2_MAINCODE_2016,Train_M,Train_F,Train_P,Bus_M,Bus_F,Bus_P,Ferry_M,Ferry_F,Ferry_P,Tram_M,Tram_F,Tram_P,Taxi_M,Taxi_F,Taxi_P,Car_Driver_M,Car_Driver_F,Car_Driver_P,Car_Pass_M,Car_Pass_F,Car_Pass_P,Truck_M,Truck_F,Truck_P,Mbike_M,Mbike_F,Mbike_P,Bike_M,Bike_F,Bike_P,Other_M,Other_F,Other_P,Walk_M,Walk_F,Walk_P,Tot_M,Tot_F,Tot_P
203011034,18,5,22,7,4,9,0,0,0,0,0,0,0,0,0,1252,973,2217,71,66,137,15,4,17,3,0,3,3,3,3,10,0,9,23,21,48,1404,1069,2469
203011035,4,3,9,9,4,14,0,0,0,0,0,0,0,0,0,1282,990,2269,48,39,83,47,3,46,9,0,7,4,0,5,14,0,14,43,28,75,1452,1079,2530
203011036,5,4,15,9,4,14,0,0,0,0,0,0,4,0,4,995,773,1767,55,22,83,37,0,37,3,0,5,6,5,13,15,3,19,55,34,84,1185,850,2037
203021037,69,40,102,70,80,154,0,0,0,0,0,0,4,3,10,2341,2105,4446,139,187,322,22,0,24,20,3,20,64,14,79,15,11,21,67,68,137,2805,2509,5312
203021038,59,53,118,67,84,156,4,3,6,0,0,0,14,12,30,3422,2706,6123,301,296,590,62,0,61,21,7,21,52,17,61,32,18,48,84,101,186,4117,3283,7403
203021039,144,95,236,54,54,106,0,0,0,0,0,0,10,20,25,1898,1708,3612,115,183,294,22,0,22,17,3,20,72,34,110,21,10,26,283,409,693,2642,2511,5155
203021040,164,105,264,58,87,141,3,3,6,0,0,3,15,7,28,3361,3024,6385,177,229,409,36,0,36,23,0,26,121,30,154,28,8,42,173,215,390,4161,3711,7874
203021041,130,60,191,65,79,142,0,0,0,0,0,0,5,8,10,4280,3690,7974,208,274,480,48,0,53,30,0,30,50,14,66,24,7,35,65,54,122,4915,4195,9111
203021042,158,62,218,70,55,125,5,0,5,0,3,4,10,7,20,3855,3403,7255,208,311,522,31,0,28,23,0,21,67,9,79,24,18,43,76,62,140,4529,3929,8458
203021043,198,166,366,11,11,24,3,0,3,0,0,0,3,3,12,3123,2604,5730,205,191,392,66,0,70,26,4,26,14,0,11,24,16,42,56,51,101,3728,3042,6768
203021044,24,15,40,30,42,74,3,0,3,0,0,0,3,0,4,2327,2077,4402,111,142,256,36,0,40,11,0,13,8,3,10,13,3,17,18,26,39,2586,2314,4896
203021045,55,25,81,46,57,101,0,0,3,0,0,0,5,7,20,2252,1941,4191,157,171,328,43,0,46,17,4,17,36,8,48,19,10,24,56,43,101,2684,2275,4960
