SA2_MAINCODE_2016,Train_M,Train_F,Train_P,Bus_M,Bus_F,Bus_P,Ferry_M,Ferry_F,Ferry_P,Tram_M,Tram_F,Tram_P,Taxi_M,Taxi_F,Taxi_P,Car_Driver_M,Car_Driver_F,Car_Driver_P,Car_Pass_M,Car_Pass_F,Car_Pass_P,Truck_M,Truck_F,Truck_P,Mbike_M,Mbike_F,Mbike_P,Bike_M,Bike_F,Bike_P,Other_M,Other_F,Other_P,Walk_M,Walk_F,Walk_P,Tot_M,Tot_F,Tot_P
206041126,269,286,553,45,57,97,4,0,7,941,1113,2056,28,21,48,1387,820,2208,67,148,211,7,0,7,49,5,58,187,76,269,45,30,81,1949,1554,3502,4975,4122,9091
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,41,32,72,20,23,40,3,0,3,806,859,1671,16,22,35,1780,1444,3220,69,140,210,6,0,8,57,5,60,236,119,354,41,36,69,388,380,766,3451,3051,6506
206051129,413,473,887,51,91,143,0,0,0,186,333,517,19,15,33,2343,2346,4690,82,129,216,9,0,9,73,13,90,291,157,443,26,13,44,140,169,308,3632,3747,7380
206051130,26,18,39,146,190,337,0,0,0,483,620,1105,22,21,42,2280,1949,4226,98,195,290,19,0,19,71,11,83,334,175,515,30,41,70,271,310,588,3786,3535,7317
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5
206051132,27,55,82,10,12,21,0,0,5,644,678,1320,17,10,27,1155,908,2060,47,94,136,8,0,8,37,9,46,152,93,241,29,19,46,521,543,1071,2644,2418,5065
206051133,352,329,680,83,97,181,4,0,3,1637,1924,3559,29,20,49,3127,2539,5665,124,194,315,16,0,17,101,18,123,447,243,690,74,39,116,556,641,1194,6560,6046,12608
206051134,789,799,1587,37,43,84,0,0,3,357,453,815,17,17,28,2226,1958,4185,108,172,285,14,3,16,62,12,79,253,106,361,36,31,62,215,295,510,4116,3887,8008
206061135,484,473,957,3,10,12,0,0,0,104,170,274,4,0,4,1170,1005,2181,28,72,103,3,0,3,20,0,20,63,19,80,19,20,39,72,117,184,1977,1886,3859
206061136,973,925,1902,44,55,95,0,0,7,549,679,1228,15,16,29,2436,2177,4617,82,164,245,9,0,8,56,9,68,330,143,468,32,29,62,557,689,1248,5103,4885,9985
206061137,1466,1541,3012,50,76,126,0,0,0,243,397,639,31,18,53,2106,1686,3798,79,175,251,6,0,6,47,11,53,318,143,464,47,30,78,761,885,1648,5154,4964,10120
206061138,348,276,625,29,42,72,0,0,0,142,206,347,9,5,13,1845,1415,3260,61,131,193,3,0,7,25,4,25,110,37,140,22,23,43,154,166,318,2750,2300,5052
206071139,226,238,469,67,78,144,3,0,3,354,426,785,10,6,14,971,738,1710,42,78,119,4,0,4,31,3,34,258,131,389,24,16,35,263,249,516,2243,1971,4215
206071140,22,28,52,56,52,113,0,0,0,405,517,914,4,8,8,793,741,1530,35,74,109,0,0,0,34,9,45,407,281,684,10,15,24,224,304,530,1984,2025,4008
206071141,115,105,221,49,68,121,0,0,0,367,373,743,13,7,23,702,549,1249,34,49,84,6,0,6,26,5,35,241,146,386,16,13,35,442,469,911,2011,1799,3807
206071142,55,49,105,21,21,39,7,4,6,449,494,943,18,13,33,751,587,1336,35,70,99,3,0,3,26,4,34,267,188,459,14,18,24,605,689,1295,2248,2141,4388
206071143,119,113,238,28,37,68,3,0,3,594,778,1376,9,11,14,1131,1064,2199,41,89,126,9,0,9,38,9,42,546,442,990,33,20,51,198,321,527,2754,2882,5637
206071144,1114,1032,2141,45,40,83,3,0,3,1205,1394,2602,22,31,52,3726,3036,6758,133,262,394,24,0,21,90,11,103,675,334,1011,59,42,106,1049,1244,2292,8142,7439,15576
206071145,405,429,835,32,45,77,0,0,0,58,44,97,6,4,11,1032,1009,2035,37,50,84,9,0,9,29,10,37,324,194,518,18,6,18,99,136,235,2041,1920,3957
207011146,321,240,561,12,12,24,0,0,0,3,9,14,3,0,3,1018,918,1945,33,52,92,7,0,12,16,0,16,91,14,100,15,7,15,48,35,87,1567,1293,2863
207011147,202,156,356,107,85,195,0,0,0,134,174,309,4,5,10,2179,1807,3989,81,193,273,19,0,19,18,5,26,54,12,59,21,22,46,75,94,171,2887,2556,5441
207011148,101,66,171,299,240,536,3,0,3,160,154,316,15,3,17,3064,2522,5595,130,277,410,13,3,15,26,0,25,62,4,62,29,16,41,72,63,138,3965,3353,7319
207011149,765,606,1369,12,23,33,0,0,0,139,168,307,13,6,18,2739,2507,5244,110,198,301,19,0,20,31,5,35,153,21,177,23,12,36,141,156,294,4141,3690,7829
207011150,577,457,1029,13,28,39,0,0,0,44,54,101,5,0,11,2423,2192,4611,89,161,253,12,0,18,22,4,27,177,31,210,22,19,42,85,85,167,3471,3033,6510
207011151,1028,932,1955,25,7,30,0,0,0,462,583,1047,15,12,33,2720,2449,5175,94,194,292,4,0,4,45,12,57,262,100,360,39,22,56,428,489,918,5125,4806,9932
207011152,700,668,1366,9,11,18,0,0,0,159,159,316,18,10,28,2046,1816,3858,74,140,210,6,0,6,29,0,35,142,22,164,30,15,41,190,244,438,3396,3093,6481
207011153,167,135,306,175,204,380,0,0,0,494,527,1016,14,20,35,3543,2978,6517,145,296,442,18,0,18,50,0,54,220,65,286,53,28,82,220,262,483,5095,4519,9614
207011154,11,10,17,102,110,214,0,0,0,105,96,197,4,0,4,990,826,1812,37,74,107,3,0,3,16,0,16,42,4,51,10,3,15,45,31,70,1362,1158,2525
207011155,722,553,1270,13,12,26,0,0,0,44,64,112,11,0,14,2207,1857,4058,74,152,224,10,0,10,18,0,21,86,18,103,23,12,39,80,96,179,3279,2771,6054
207021156,32,31,63,208,177,383,0,0,0,4,7,8,5,0,4,1822,1419,3245,68,162,233,26,0,26,20,3,22,15,0,15,15,14,25,23,20,45,2225,1825,4056
207021157,51,46,97,462,459,923,0,0,0,3,7,10,10,3,16,3073,2336,5408,133,282,413,27,0,24,31,0,38,17,4,21,27,15,39,109,113,223,3955,3270,7220
207021159,40,30,67,266,270,535,0,0,0,3,0,3,5,0,8,2777,2249,5025,110,239,351,28,0,28,16,0,19,6,0,13,18,13,27,38,28,58,3313,2823,6139
207021160,20,20,42,282,274,553,0,0,0,0,0,3,9,4,12,2115,1664,3776,87,164,253,21,0,21,13,4,17,19,0,19,18,11,30,14,28,45,2608,2161,4768
207021424,43,34,70,304,280,582,0,0,0,0,3,3,3,0,3,2435,1965,4400,99,183,284,30,0,30,18,0,18,11,0,11,21,16,35,24,26,45,2978,2501,5478
207021425,54,46,102,294,315,602,0,0,0,3,0,3,4,7,11,2010,1617,3625,72,199,277,26,0,26,13,0,13,9,3,17,18,11,26,40,52,92,2550,2248,4795
207031161,712,535,1245,101,119,217,0,0,0,4,9,12,8,10,19,3024,2548,5572,127,260,385,28,0,28,27,0,30,87,18,107,39,15,54,112,103,217,4263,3618,7881
207031162,157,118,278,32,44,71,0,0,0,5,8,16,3,0,7,1535,1395,2925,70,117,189,23,0,23,13,0,8,26,0,26,16,3,19,34,34,67,1915,1722,3637
207031163,606,523,1124,91,131,226,0,0,0,37,43,80,7,3,9,2384,1987,4373,101,210,310,22,0,21,31,3,33,60,10,68,22,10,32,235,288,523,3594,3211,6808
207031164,302,231,536,126,157,286,0,0,0,19,16,34,3,5,12,2579,2134,4711,99,223,319,36,0,36,31,0,32,54,13,66,26,10,39,107,147,256,3386,2944,6327
207031165,108,106,213,45,60,106,0,0,0,102,120,222,5,3,5,1456,1208,2664,77,144,217,10,0,10,17,0,17,22,3,26,18,11,32,78,71,149,1929,1728,3657
207031166,124,90,215,23,39,60,0,0,0,59,51,103,0,0,4,1553,1213,2767,67,151,217,14,0,14,11,0,8,13,3,15,21,10,34,29,26,55,1917,1587,3502
207031167,445,371,815,12,21,35,0,0,0,40,38,84,0,0,3,1384,1270,2652,49,99,146,15,0,15,24,0,20,43,4,54,10,7,22,74,73,147,2095,1882,3981
208011168,201,139,346,21,24,40,0,0,0,0,0,0,0,4,4,2141,1935,4075,72,119,194,21,0,21,18,4,19,60,15,75,27,13,37,37,66,106,2601,2319,4917
208011169,846,695,1547,27,24,45,3,0,3,9,3,14,11,10,17,3108,2518,5627,84,163,253,12,0,12,30,7,32,147,43,188,52,19,71,133,163,296,4457,3645,8105
208011170,362,273,640,18,18,31,0,0,0,38,33,70,14,9,18,2335,2027,4362,75,172,249,18,0,18,23,0,28,85,20,100,33,13,48,52,50,102,3051,2614,5664
208011171,326,278,601,20,23,39,0,0,0,0,0,0,3,3,9,1668,1510,3176,63,117,178,9,0,9,28,3,26,64,12,71,20,4,21,50,67,114,2248,2011,4257
208011172,586,459,1047,20,33,60,0,0,0,4,9,10,7,8,15,2518,2193,4710,82,139,222,17,0,17,25,5,26,101,28,132,32,19,52,96,130,225,3498,3027,6522
208011173,470,352,826,19,32,59,0,0,0,0,0,0,8,4,16,2433,2103,4537,87,137,220,17,0,17,25,0,30,115,22,136,27,10,37,91,108,200,3290,2777,6069
208021174,789,614,1408,42,48,96,0,0,0,15,10,25,3,3,11,3235,2884,6117,123,223,349,31,0,31,44,5,46,134,26,156,46,24,64,115,154,274,4578,3993,8578
208021176,957,874,1832,47,57,105,0,0,0,31,68,97,10,4,18,2457,1975,4429,95,140,232,23,0,23,21,3,29,106,18,128,22,15,30,79,128,207,3857,3285,7141
208021177,603,502,1110,28,39,66,7,0,7,209,234,442,16,8,22,3040,2415,5459,95,205,306,13,0,13,36,8,39,147,44,188,40,26,68,147,172,315,4372,3660,8026
208021178,357,287,638,23,36,60,0,0,0,120,145,269,7,5,14,2687,2395,5088,74,168,240,33,0,34,29,3,32,94,9,105,20,20,35,67,81,150,3526,3144,6670
208021179,495,489,983,18,58,74,0,0,0,52,68,120,3,8,10,1545,1373,2917,55,97,148,9,0,9,32,0,32,105,36,147,17,18,38,109,125,232,2441,2275,4714
208021180,383,319,702,27,35,59,3,0,3,4,3,5,5,0,5,1088,914,2005,51,71,122,8,0,8,7,0,9,31,11,41,8,7,15,37,62,104,1651,1418,3073
208021181,477,409,883,26,24,55,0,0,0,3,3,3,7,4,10,1404,1156,2559,41,93,128,11,0,14,11,0,11,53,18,77,15,7,16,43,46,90,2089,1769,3852
208021182,665,522,1184,52,51,107,0,0,0,52,35,83,5,6,16,1841,1563,3405,76,132,209,21,0,21,39,0,39,75,17,88,23,13,37,70,103,176,2925,2447,5366
208021426,271,222,487,41,54,95,0,0,0,3,4,4,10,9,16,2324,2090,4416,80,150,222,39,0,39,22,0,22,69,16,79,23,16,39,55,73,126,2927,2627,5558
208021427,204,167,370,40,44,84,0,0,0,3,5,9,7,6,12,2187,1865,4051,80,129,208,28,0,26,21,4,25,49,8,56,13,10,19,48,43,88,2674,2278,4953
208031183,117,121,236,15,23,40,0,0,0,0,0,0,0,0,3,1767,1450,3214,71,119,190,17,0,17,11,0,11,19,3,26,13,8,24,15,17,35,2052,1743,3788
208031184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,17,4,18
208031185,162,159,316,9,8,12,0,0,3,0,0,0,0,0,0,2162,1863,4028,84,126,216,43,3,49,18,3,24,25,7,33,19,5,28,25,26,50,2550,2205,4747
208031186,341,312,654,15,14,33,0,0,0,3,4,3,3,9,12,2379,2129,4506,82,103,185,30,0,30,19,0,20,26,6,33,16,13,28,21,55,81,2944,2643,5587
208031187,68,48,111,5,12,18,0,0,0,0,0,0,0,0,0,999,849,1846,37,54,90,16,0,16,10,0,10,14,8,17,12,0,12,8,17,27,1162,983,2145
208031188,499,450,952,48,77,129,0,0,0,3,0,5,10,3,10,3630,3162,6790,137,234,369,50,0,53,39,0,38,96,21,114,36,26,61,125,165,292,4668,4137,8807
208031189,342,270,614,17,15,33,0,0,0,0,0,0,0,3,7,2250,1956,4205,72,112,191,25,3,30,29,0,28,37,3,37,19,10,29,31,49,85,2820,2432,5254
208031190,370,301,674,40,46,86,0,0,0,0,0,0,10,3,10,2119,1967,4080,90,117,207,35,0,35,34,0,34,46,7,56,22,8,36,60,85,140,2821,2537,5361
208031191,151,153,300,23,31,52,0,0,0,0,3,3,5,0,10,1432,1232,2665,70,89,164,19,3,23,15,0,19,36,5,41,9,9,19,55,53,110,1814,1588,3402
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,565,431,1005,31,36,63,3,0,3,0,4,3,8,10,11,3409,3068,6475,115,180,293,39,0,39,22,0,27,93,26,120,24,11,36,78,98,181,4401,3866,8264
208041194,806,687,1490,11,19,25,0,0,4,184,259,450,11,12,23,2873,2446,5316,78,167,246,5,4,14,36,6,44,159,47,206,27,24,51,177,207,385,4368,3873,8246
208041195,812,573,1390,50,47,90,0,0,0,48,59,101,12,5,20,2954,2585,5540,94,178,275,13,0,15,39,0,41,139,31,168,37,16,53,127,194,324,4321,3696,8020
209011196,111,93,205,22,32,51,0,0,0,41,43,85,11,0,9,1633,1234,2870,80,132,216,24,0,24,11,0,18,20,4,20,14,3,17,23,10,30,1989,1562,3547
209011197,463,364,832,41,43,89,0,0,0,0,0,7,7,7,12,3561,3164,6727,147,181,328,63,0,67,22,8,28,45,3,46,20,11,36,57,78,140,4432,3867,8302
209011198,612,426,1034,49,42,87,3,3,4,0,7,7,8,0,5,2007,1780,3788,59,138,197,24,0,24,27,0,33,85,17,106,20,16,29,94,173,265,2992,2594,5591
209011199,178,170,346,119,127,245,0,0,0,3,3,5,20,4,23,1908,1483,3389,89,160,246,29,0,24,40,7,42,78,25,107,15,9,26,76,109,181,2544,2095,4638
209011200,480,455,933,53,65,118,0,0,0,0,7,11,9,3,15,1591,1476,3066,63,122,180,9,0,10,29,4,33,111,24,136,19,12,29,86,129,215,2443,2293,4737
209011201,260,203,468,18,12,30,0,0,0,0,6,6,3,0,3,1196,1018,2216,40,105,152,10,0,10,14,0,16,69,3,74,14,6,16,45,49,95,1674,1407,3081
209011202,363,291,652,37,57,91,0,0,0,0,4,4,4,8,17,2759,2440,5204,98,145,244,35,0,35,25,7,24,45,8,47,29,12,40,45,53,100,3443,3021,6458
209011203,505,413,917,27,43,73,0,0,3,0,3,3,3,5,8,2829,2405,5228,105,159,266,33,0,32,30,4,36,68,10,74,36,18,54,212,60,271,3849,3114,6967
209011204,268,220,491,26,27,53,0,0,0,3,7,5,8,3,15,1510,1238,2747,55,89,147,27,0,27,10,3,16,23,5,27,9,4,19,31,23,47,1968,1617,3584
209021205,140,120,264,41,53,95,0,0,0,84,94,176,8,3,11,1548,1214,2765,71,155,222,20,0,20,28,3,32,30,0,30,12,13,25,59,76,136,2040,1733,3770
209021207,627,646,1268,81,108,184,3,0,3,88,136,225,30,10,36,3796,2801,6597,184,256,442,80,0,80,57,9,58,111,27,138,33,15,43,72,84,159,5144,4079,9222
209021208,578,612,1192,56,66,122,3,0,3,77,128,197,19,5,31,3491,2489,5978,156,220,377,77,3,83,38,12,44,106,31,143,37,13,46,58,54,113,4696,3633,8329
209021428,520,505,1026,82,111,190,0,0,5,210,303,517,19,12,28,2596,2091,4690,118,211,329,22,0,26,58,7,65,241,114,354,25,20,40,137,144,277,4026,3522,7547
209021429,228,200,427,31,29,59,0,0,0,262,343,606,5,10,12,1634,1421,3060,79,96,175,17,0,20,38,3,43,196,82,278,17,18,33,43,51,94,2556,2251,4807
209031209,478,331,813,32,37,77,0,3,3,0,0,4,7,0,12,4072,3728,7796,173,197,369,70,0,75,46,0,47,58,13,64,41,18,59,78,87,164,5063,4418,9482
209031210,68,61,127,0,3,5,0,0,0,0,0,0,0,0,0,648,588,1239,33,25,55,21,0,21,3,0,3,3,0,3,3,3,9,12,11,18,785,693,1479
209031211,7,3,12,6,3,7,0,0,0,0,0,0,0,0,0,712,561,1272,29,30,58,21,0,21,6,0,6,0,0,0,8,3,12,15,13,28,807,616,1424
209031212,30,34,64,5,3,7,0,0,0,0,3,0,0,0,0,966,746,1714,40,53,91,37,3,38,7,0,3,3,0,3,10,5,14,16,14,36,1120,862,1983
209031213,122,105,225,17,11,23,0,0,0,0,0,3,4,3,3,1883,1509,3391,78,125,202,62,0,62,14,0,9,13,3,20,19,11,31,24,13,38,2226,1772,4006
209031214,51,38,91,24,26,51,0,0,0,0,0,0,0,0,0,1254,1013,2270,51,66,118,30,0,30,13,0,17,9,0,13,13,3,20,23,29,47,1468,1177,2653
209031215,224,186,408,12,18,27,5,0,5,0,0,3,3,0,3,2828,2435,5261,130,144,272,51,0,51,18,3,23,20,0,20,20,7,25,39,43,88,3339,2834,6175
209041216,69,74,149,6,13,18,0,0,0,31,40,77,4,0,4,1241,1005,2248,68,85,154,21,0,21,7,0,9,8,0,8,14,0,10,14,20,37,1479,1247,2727
209041217,51,43,92,16,15,29,0,0,0,36,35,72,4,0,4,1029,763,1796,54,50,103,17,0,17,9,0,9,5,0,5,4,7,11,19,19,40,1248,932,2177
209041219,307,334,641,31,41,70,3,0,3,4,6,14,24,3,31,3397,2162,5556,191,259,451,70,0,70,26,0,25,13,0,15,23,9,37,35,36,62,4123,2845,6969
209041220,217,241,459,28,39,66,0,0,0,16,9,19,7,4,8,3512,2797,6311,173,235,407,64,0,61,17,0,18,17,3,17,24,9,33,34,38,70,4110,3367,7476
209041221,118,138,261,24,35,58,0,0,0,28,11,40,3,7,7,2233,1747,3986,106,139,247,41,0,41,18,0,15,15,0,15,13,6,22,18,18,40,2627,2105,4739
209041223,301,315,614,37,41,72,0,0,0,3,11,13,35,5,39,2959,1788,4747,164,230,394,72,0,72,22,0,22,22,6,29,26,6,29,30,45,75,3665,2450,6113
209041224,135,161,292,6,8,13,0,0,0,0,0,0,0,0,0,3174,2309,5483,164,145,308,100,5,102,14,0,15,5,0,6,17,15,27,33,31,62,3641,2671,6314
209041225,13,19,32,6,7,11,0,0,0,0,0,0,0,3,3,1468,1182,2650,65,51,121,64,4,72,6,0,6,0,0,0,9,3,9,16,30,45,1658,1299,2960
209041430,108,119,221,27,15,41,5,0,6,0,3,3,3,5,9,4211,3381,7596,155,193,352,70,0,70,28,0,28,11,7,16,19,11,26,30,41,72,4661,3770,8435
209041431,169,147,319,24,31,58,3,0,3,0,3,3,9,0,11,2363,1695,4055,114,137,252,66,0,68,7,0,7,12,3,12,18,18,32,18,12,33,2807,2054,4855
209041432,171,134,305,31,38,71,0,0,0,0,0,0,8,0,11,1347,968,2317,92,77,167,31,0,28,7,0,9,11,7,14,13,11,22,31,32,58,1740,1262,3009
209041433,167,139,308,14,34,43,0,0,0,0,3,3,23,4,26,1963,1404,3359,87,126,208,34,0,34,16,0,17,3,0,3,17,13,24,11,24,39,2330,1741,4067
209041434,151,158,312,28,27,54,0,0,0,6,3,3,16,0,16,3161,2423,5578,104,170,266,39,0,39,11,0,11,3,0,3,28,10,32,25,27,48,3565,2807,6377
209041435,180,171,346,16,25,41,0,0,0,0,0,3,13,0,13,2359,1883,4243,98,140,235,66,0,66,9,0,9,10,3,9,23,6,28,14,8,24,2787,2232,5022
209041436,172,129,300,19,27,50,7,0,5,0,4,4,7,0,13,2212,1846,4061,101,144,245,25,0,25,10,3,9,4,3,11,14,4,17,15,26,40,2583,2191,4775
209041437,120,115,231,10,22,35,0,0,0,3,0,3,32,0,32,1696,1106,2799,49,101,148,36,0,36,4,0,4,3,0,3,17,5,20,14,3,18,1984,1350,3335
210011226,64,81,142,8,17,21,0,0,0,37,52,90,3,6,10,1325,1121,2443,63,85,149,11,0,11,10,0,10,20,0,19,16,9,22,22,22,41,1590,1383,2969
210011227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210011228,58,46,109,7,15,24,0,0,0,0,3,3,3,0,3,1609,1250,2860,78,98,172,22,0,22,17,0,17,14,0,10,8,3,17,16,12,33,1833,1424,3262
210011229,184,191,375,41,74,116,0,0,0,23,33,57,9,10,23,4309,3378,7692,178,296,476,71,0,73,44,0,45,41,0,41,39,24,64,50,46,92,4995,4061,9055
210011230,78,88,164,6,4,14,0,0,0,24,39,69,3,0,5,1220,1052,2271,49,95,140,15,0,15,9,3,17,24,3,28,11,5,17,20,38,65,1471,1339,2810
210011231,228,194,430,4,10,16,0,0,0,6,27,34,0,0,0,1669,1363,3029,72,103,174,15,0,11,19,3,20,51,4,57,21,13,33,33,32,67,2128,1749,3872
210021232,128,103,235,8,0,9,0,0,0,0,0,0,3,3,8,2301,1885,4188,114,126,245,60,0,60,4,0,6,0,0,0,13,11,27,42,51,90,2688,2181,4867
210021233,36,41,85,3,0,3,0,0,0,0,0,0,0,0,3,550,401,948,25,29,52,6,0,6,3,0,3,7,0,7,8,3,8,23,19,36,659,499,1153
210021234,66,63,123,3,0,3,0,0,0,0,0,0,0,0,0,710,659,1370,29,34,63,16,0,16,0,0,0,3,0,3,0,3,4,12,11,22,834,766,1603
210021235,34,32,63,5,9,11,0,0,0,0,0,4,4,0,4,1689,1251,2940,71,76,143,59,0,60,5,0,5,3,0,3,13,16,27,48,42,86,1932,1430,3363
210031236,231,205,429,7,9,13,0,0,0,59,70,131,3,0,3,1056,795,1856,46,86,128,23,0,23,25,3,27,86,41,129,4,7,16,37,31,59,1568,1247,2817
210031237,362,201,571,18,21,36,0,0,0,3,17,26,18,4,27,1870,983,2852,85,111,200,31,0,31,17,0,21,33,3,36,26,15,48,36,48,83,2505,1411,3919
210031239,891,869,1764,35,34,69,0,0,0,23,61,88,19,7,27,3752,2863,6614,162,237,403,49,3,48,58,6,66,103,18,119,37,15,47,64,83,150,5188,4209,9392
210031438,754,706,1461,34,61,91,3,0,3,3,10,19,25,6,39,3247,1995,5237,157,221,371,62,0,63,24,3,25,35,19,54,33,13,46,56,75,130,4431,3107,7542
210031439,26,19,49,0,8,5,0,0,0,6,6,15,0,0,0,560,491,1048,26,35,62,9,0,9,9,0,11,5,0,3,3,3,3,3,0,3,641,563,1208
210031440,69,59,125,3,15,15,0,0,0,0,0,6,8,0,4,847,584,1431,37,44,80,19,0,19,3,0,7,6,3,16,8,3,12,10,12,20,1024,719,1744
210041240,152,141,294,14,19,34,0,0,0,3,0,3,3,3,4,2346,1960,4306,132,135,267,57,0,57,12,3,11,11,0,11,14,12,26,33,31,64,2772,2301,5074
210041241,399,390,784,24,33,59,3,0,3,0,0,3,8,3,13,4929,4036,8969,281,284,561,101,0,105,31,5,35,11,0,16,33,12,43,62,74,136,5888,4840,10729
210051242,180,133,319,57,45,99,0,0,0,0,3,3,17,9,23,1605,764,2369,120,120,244,21,0,21,10,0,11,8,0,10,26,5,34,25,32,60,2076,1111,3193
210051243,116,111,232,15,25,44,0,0,0,0,0,0,15,4,14,1885,934,2816,126,114,239,54,4,54,13,0,9,13,0,13,30,6,42,50,24,73,2316,1234,3546
210051245,129,152,277,52,51,101,0,0,0,7,17,21,12,5,19,3191,2595,5783,157,213,376,48,0,50,24,3,26,16,0,16,33,13,47,18,30,45,3678,3089,6763
210051246,128,129,264,15,11,28,0,0,0,5,3,10,15,3,17,3458,2534,5994,157,223,375,83,0,83,4,0,4,8,0,8,31,18,47,15,16,34,3922,2942,6865
210051247,110,86,192,22,19,46,0,0,0,0,0,3,25,0,24,1893,1151,3047,124,139,263,47,0,50,6,0,6,3,0,3,21,7,30,16,13,29,2277,1421,3695
210051248,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,16,9,26,0,3,3,0,3,3,0,0,0,0,0,3,4,0,4,3,0,7,23,22,45
210051249,210,246,453,27,34,59,3,0,3,0,0,0,16,3,18,3156,2011,5162,180,268,446,64,0,64,6,0,6,6,0,5,29,12,42,20,14,32,3717,2581,6299
210051250,21,42,61,19,18,38,0,0,0,7,15,29,0,3,9,1193,926,2111,63,80,135,26,0,26,14,0,14,9,0,8,11,0,11,27,16,41,1385,1101,2487
210051441,90,125,214,16,15,28,0,0,0,0,0,0,5,0,5,1486,984,2468,113,92,202,44,3,43,10,0,10,4,3,10,10,6,17,17,25,41,1791,1257,3053
210051442,137,135,278,13,14,29,0,0,0,0,0,0,14,4,15,2110,1399,3505,111,132,245,42,0,42,10,3,11,8,3,8,17,7,28,12,20,32,2470,1714,4187
210051443,238,257,499,23,29,50,0,0,0,3,0,3,27,4,31,2963,1955,4921,183,195,377,71,0,71,19,0,16,8,0,8,24,12,33,15,26,34,3572,2472,6048
210051444,187,210,405,26,37,60,0,0,0,0,3,0,40,3,43,2411,1477,3887,108,161,269,46,0,49,9,0,11,3,4,4,28,9,34,17,25,37,2871,1923,4798
210051445,29,37,70,3,0,5,0,0,0,0,0,0,4,0,5,696,545,1237,23,48,67,28,0,28,3,0,3,0,0,0,9,3,11,5,6,14,793,642,1436
211011251,203,156,367,20,31,55,0,0,0,0,0,0,4,3,9,2166,1794,3960,96,124,219,43,0,43,28,0,29,21,4,25,11,13,29,44,41,87,2642,2166,4804
211011254,108,79,188,47,57,101,0,0,0,0,0,3,0,3,3,2925,2411,5332,124,185,306,29,0,34,12,6,12,18,4,16,22,14,31,37,26,61,3311,2782,6097
211011255,41,14,60,8,10,21,0,0,0,0,0,0,0,0,0,1544,1245,2787,67,79,148,27,0,27,3,0,3,4,3,9,6,0,7,10,9,25,1721,1364,3085
211011256,86,64,154,45,45,86,0,0,0,0,0,0,6,4,8,3220,2705,5927,154,206,365,36,0,36,24,3,22,18,0,16,18,15,34,29,31,59,3637,3074,6714
211011257,67,52,112,8,16,31,0,0,0,0,0,0,6,3,10,1653,1409,3062,79,116,192,19,0,16,10,0,10,13,3,12,18,4,20,9,17,24,1877,1611,3487
211011258,43,41,88,15,15,35,0,0,0,0,0,0,0,4,6,2297,1880,4176,117,148,268,29,0,33,10,0,10,10,0,12,23,11,32,19,21,39,2567,2127,4699
211011259,144,89,233,38,43,75,0,0,0,5,3,10,3,7,8,2503,2146,4650,85,176,265,46,0,46,16,0,21,20,0,19,18,6,23,50,48,98,2927,2514,5445
211011260,152,113,261,66,61,130,0,0,0,0,0,0,6,0,6,3161,2789,5953,132,239,368,41,0,41,17,0,17,19,7,24,26,16,34,47,44,93,3654,3265,6925
211011446,314,264,581,60,42,101,0,0,0,0,3,3,12,6,22,4019,3408,7433,177,200,386,68,0,73,38,3,36,38,6,43,28,8,36,61,64,123,4817,4016,8826
211011447,182,141,323,30,43,71,4,0,4,3,5,5,0,4,3,2539,2153,4689,110,122,234,43,0,43,22,0,22,17,0,21,14,4,26,37,39,71,3009,2508,5512
211011448,153,114,271,39,21,59,0,0,0,0,3,3,7,4,10,2952,2482,5434,149,167,314,52,0,56,20,5,27,22,7,31,12,15,30,42,43,86,3464,2859,6319
211011449,29,29,61,4,4,9,3,0,3,0,0,0,0,0,0,874,718,1591,38,42,71,30,0,30,9,0,9,7,0,7,0,3,3,13,8,17,1007,794,1807
211021261,120,94,213,120,114,235,0,0,0,0,0,0,5,0,9,2755,2249,5004,97,187,279,56,0,56,19,0,21,27,0,27,19,9,29,37,33,78,3247,2697,5943
211021262,45,40,85,64,58,118,0,0,0,0,0,0,4,3,7,2003,1555,3565,67,99,168,46,0,46,15,0,15,12,3,12,13,12,23,39,49,91,2313,1816,4130
211031263,101,87,190,32,18,47,0,0,0,0,0,0,3,4,4,2380,1926,4309,114,126,242,51,0,51,9,0,13,30,0,32,14,9,25,49,26,81,2785,2204,4988
211031265,223,161,382,23,31,62,3,0,3,0,0,0,5,0,7,3561,3226,6788,182,185,364,63,0,69,24,0,23,19,0,18,17,9,32,43,34,75,4176,3657,7828
