SA2_MAINCODE_2016,Train_M,Train_F,Train_O,Train_P,Bus_M,Bus_F,Bus_O,Bus_P,Ferry_M,Ferry_F,Ferry_O,Ferry_P,Tram_M,Tram_F,Tram_O,Tram_P,Taxi_M,Taxi_F,Taxi_O,Taxi_P,Car_Driver_M,Car_Driver_F,Car_Driver_O,Car_Driver_P,Car_Pass_M,Car_Pass_F,Car_Pass_O,Car_Pass_P,Truck_M,Truck_F,Truck_O,Truck_P,Mbike_M,Mbike_F,Mbike_O,Mbike_P,Bike_M,Bike_F,Bike_O,Bike_P,Other_M,Other_F,Other_O,Other_P,Walk_M,Walk_F,Walk_O,Walk_P,Tot_M,Tot_F,Tot_P
211011257,67,52,-7,112,8,16,7,31,0,0,0,0,0,0,0,0,6,3,1,10,1653,1409,0,3062,79,116,-3,192,19,0,-3,16,10,0,0,10,13,3,-4,12,18,4,-2,20,9,17,-2,24,1877,1611,3487
211011258,43,41,4,88,15,15,5,35,0,0,0,0,0,0,0,0,0,4,2,6,2297,1880,-1,4176,117,148,3,268,29,0,4,33,10,0,0,10,10,0,2,12,23,11,-2,32,19,21,-1,39,2567,2127,4699
211011259,144,89,0,233,38,43,-6,75,0,0,0,0,5,3,2,10,3,7,-2,8,2503,2146,1,4650,85,176,4,265,46,0,0,46,16,0,5,21,20,0,-1,19,18,6,-1,23,50,48,0,98,2927,2514,5445
211011260,152,113,-4,261,66,61,3,130,0,0,0,0,0,0,0,0,6,0,0,6,3161,2789,3,5953,132,239,-3,368,41,0,0,41,17,0,0,17,19,7,-2,24,26,16,-8,34,47,44,2,93,3654,3265,6925
211011446,314,264,3,581,60,42,-1,101,0,0,0,0,0,3,0,3,12,6,4,22,4019,3408,6,7433,177,200,9,386,68,0,5,73,38,3,-5,36,38,6,-1,43,28,8,0,36,61,64,-2,123,4817,4016,8826
211011447,182,141,0,323,30,43,-2,71,4,0,0,4,3,5,-3,5,0,4,-1,3,2539,2153,-3,4689,110,122,2,234,43,0,0,43,22,0,0,22,17,0,4,21,14,4,8,26,37,39,-5,71,3009,2508,5512
211011448,153,114,4,271,39,21,-1,59,0,0,0,0,0,3,0,3,7,4,-1,10,2952,2482,0,5434,149,167,-2,314,52,0,4,56,20,5,2,27,22,7,2,31,12,15,3,30,42,43,1,86,3464,2859,6319
211011449,29,29,3,61,4,4,1,9,3,0,0,3,0,0,0,0,0,0,0,0,874,718,-1,1591,38,42,-9,71,30,0,0,30,9,0,0,9,7,0,0,7,0,3,0,3,13,8,-4,17,1007,794,1807
211021261,120,94,-1,213,120,114,1,235,0,0,0,0,0,0,0,0,5,0,4,9,2755,2249,0,5004,97,187,-5,279,56,0,0,56,19,0,2,21,27,0,0,27,19,9,1,29,37,33,8,78,3247,2697,5943
211021262,45,40,0,85,64,58,-4,118,0,0,0,0,0,0,0,0,4,3,0,7,2003,1555,7,3565,67,99,2,168,46,0,0,46,15,0,0,15,12,3,-3,12,13,12,-2,23,39,49,3,91,2313,1816,4130
211031263,101,87,2,190,32,18,-3,47,0,0,0,0,0,0,0,0,3,4,-3,4,2380,1926,3,4309,114,126,2,242,51,0,0,51,9,0,4,13,30,0,2,32,14,9,2,25,49,26,6,81,2785,2204,4988
211031265,223,161,-2,382,23,31,8,62,3,0,0,3,0,0,0,0,5,0,2,7,3561,3226,1,6788,182,185,-3,364,63,0,6,69,24,0,-1,23,19,0,-1,18,17,9,6,32,43,34,-2,75,4176,3657,7828
211031266,416,322,-5,733,49,54,-4,99,0,0,0,0,0,3,0,3,4,3,4,11,2796,2319,1,5116,139,187,-7,319,37,0,2,39,29,4,2,35,20,10,-5,25,20,7,1,28,84,86,1,171,3596,2977,6576
211031267,571,410,1,982,40,30,-5,65,0,0,0,0,0,0,0,0,10,3,3,16,3403,2871,-2,6272,149,206,-6,349,46,0,2,48,22,4,-3,23,36,11,4,51,18,4,3,25,83,83,2,168,4384,3616,7997
211031268,149,82,0,231,19,24,-5,38,0,0,0,0,0,0,0,0,0,0,0,0,1738,1480,-3,3215,56,102,3,161,26,3,-5,24,20,0,0,20,17,0,-3,14,9,0,1,10,23,17,1,41,2050,1713,3760
211031450,240,209,4,453,34,29,-5,58,4,3,1,8,0,0,0,0,7,4,0,11,2601,2390,6,4997,132,132,1,265,44,0,0,44,19,0,1,20,18,3,4,25,24,5,-2,27,46,40,0,86,3168,2823,5991
211031451,215,173,0,388,27,27,4,58,0,0,0,0,0,0,0,0,6,3,5,14,2145,1933,3,4081,116,138,1,255,33,0,1,34,15,0,1,16,16,0,6,22,15,3,0,18,41,38,-2,77,2630,2328,4961
211031452,44,59,2,105,5,4,-3,6,0,0,0,0,0,3,0,3,0,0,0,0,892,751,0,1643,34,33,1,68,18,0,0,18,3,0,0,3,8,0,-1,7,7,0,-1,6,9,4,6,19,1022,864,1879
211041269,171,128,-1,298,37,38,4,79,0,0,0,0,3,3,1,7,4,3,0,7,1601,1322,3,2926,67,124,0,191,17,0,0,17,13,0,0,13,18,3,-2,19,9,8,-4,13,47,47,-1,93,1983,1682,3661
211041270,675,510,-3,1182,48,44,1,93,0,0,0,0,3,7,1,11,6,0,3,9,2476,2179,0,4655,99,162,2,263,30,3,-7,26,32,3,-3,32,44,14,-3,55,17,20,-9,28,62,68,0,130,3483,3009,6489
