,SA2_MAINCODE_2016,Mode,Mode1,Gender,Count,MaleCount,FemaleCount,UnspecifiedCount,FemaleProp,MaleProp,UnspecifiedProp,,,
73,204031073,Train_M,Train,Male,0,0,0,0,0,0,0,,,
74,204031074,Train_M,Train,Male,9,9,0,0,0,5.69E-05,0,,,
75,204031075,Train_M,Train,Male,0,0,0,0,0,0,0,,,
76,205011076,Train_M,Train,Male,68,68,0,0,0,0.000429646,0,,,
77,205011077,Train_M,Train,Male,6,6,0,0,0,3.79E-05,0,,,
78,205011078,Train_M,Train,Male,8,8,0,0,0,5.05E-05,0,,,
79,205011079,Train_M,Train,Male,75,75,0,0,0,0.000473874,0,,,
80,205021080,Train_M,Train,Male,0,0,0,0,0,0,0,,,
81,205021081,Train_M,Train,Male,0,0,0,0,0,0,0,,,
82,205021082,Train_M,Train,Male,3,3,0,0,0,1.90E-05,0,,,
83,205021083,Train_M,Train,Male,0,0,0,0,0,0,0,,,
84,205021084,Train_M,Train,Male,4,4,0,0,0,2.53E-05,0,,,
85,205021085,Train_M,Train,Male,3,3,0,0,0,1.90E-05,0,,,
86,205021086,Train_M,Train,Male,0,0,0,0,0,0,0,,,
87,205031087,Train_M,Train,Male,0,0,0,0,0,0,0,,,
88,205031088,Train_M,Train,Male,0,0,0,0,0,0,0,,,
89,205031089,Train_M,Train,Male,0,0,0,0,0,0,0,,,
90,205031090,Train_M,Train,Male,3,3,0,0,0,1.90E-05,0,,,
91,205031091,Train_M,Train,Male,13,13,0,0,0,8.21E-05,0,,,
92,205031092,Train_M,Train,Male,0,0,0,0,0,0,0,,,
93,205031093,Train_M,Train,Male,8,8,0,0,0,5.05E-05,0,,,
94,205041094,Train_M,Train,Male,11,11,0,0,0,6.95E-05,0,,,
95,205041095,Train_M,Train,Male,33,33,0,0,0,0.000208504,0,,,
96,205041096,Train_M,Train,Male,25,25,0,0,0,0.000157958,0,,,
97,205041097,Train_M,Train,Male,21,21,0,0,0,0.000132685,0,,,
98,205041098,Train_M,Train,Male,0,0,0,0,0,0,0,,,
99,205051099,Train_M,Train,Male,0,0,0,0,0,0,0,,,
100,205051100,Train_M,Train,Male,0,0,0,0,0,0,0,,,
101,205051101,Train_M,Train,Male,9,9,0,0,0,5.69E-05,0,,,
102,205051102,Train_M,Train,Male,0,0,0,0,0,0,0,,,
103,205051103,Train_M,Train,Male,4,4,0,0,0,2.53E-05,0,,,
104,205051104,Train_M,Train,Male,0,0,0,0,0,0,0,,,
105,206011105,Train_M,Train,Male,718,718,0,0,0,0.004536551,0,,,
106,206011106,Train_M,Train,Male,42,42,0,0,0,0.000265369,0,,,
107,206011107,Train_M,Train,Male,119,119,0,0,0,0.00075188,0,,,
108,206011108,Train_M,Train,Male,736,736,0,0,0,0.004650281,0,,,
109,206011109,Train_M,Train,Male,159,159,0,0,0,0.001004612,0,,,
110,206021110,Train_M,Train,Male,479,479,0,0,0,0.003026474,0,,,
111,206021111,Train_M,Train,Male,962,962,0,0,0,0.006078221,0,,,
112,206021112,Train_M,Train,Male,451,451,0,0,0,0.002849561,0,,,
113,206031113,Train_M,Train,Male,432,432,0,0,0,0.002729513,0,,,
114,206031114,Train_M,Train,Male,768,768,0,0,0,0.004852467,0,,,
115,206031115,Train_M,Train,Male,366,366,0,0,0,0.002312504,0,,,
116,206031116,Train_M,Train,Male,486,486,0,0,0,0.003070702,0,,,
117,206041117,Train_M,Train,Male,99,99,0,0,0,0.000625513,0,,,
118,206041118,Train_M,Train,Male,121,121,0,0,0,0.000764516,0,,,
119,206041119,Train_M,Train,Male,64,64,0,0,0,0.000404372,0,,,
120,206041120,Train_M,Train,Male,3,3,0,0,0,1.90E-05,0,,,
121,206041121,Train_M,Train,Male,730,730,0,0,0,0.004612371,0,,,
122,206041122,Train_M,Train,Male,672,672,0,0,0,0.004245909,0,,,
123,206041123,Train_M,Train,Male,290,290,0,0,0,0.001832312,0,,,
124,206041124,Train_M,Train,Male,79,79,0,0,0,0.000499147,0,,,
125,206041125,Train_M,Train,Male,74,74,0,0,0,0.000467555,0,,,
126,206041126,Train_M,Train,Male,269,269,0,0,0,0.001699627,0,,,
127,206041127,Train_M,Train,Male,0,0,0,0,0,0,0,,,
128,206051128,Train_M,Train,Male,41,41,0,0,0,0.000259051,0,,,
129,206051129,Train_M,Train,Male,413,413,0,0,0,0.002609465,0,,,
130,206051130,Train_M,Train,Male,26,26,0,0,0,0.000164276,0,,,
131,206051131,Train_M,Train,Male,0,0,0,0,0,0,0,,,
132,206051132,Train_M,Train,Male,27,27,0,0,0,0.000170595,0,,,
133,206051133,Train_M,Train,Male,352,352,0,0,0,0.002224048,0,,,
134,206051134,Train_M,Train,Male,789,789,0,0,0,0.004985152,0,,,
135,206061135,Train_M,Train,Male,484,484,0,0,0,0.003058065,0,,,
136,206061136,Train_M,Train,Male,973,973,0,0,0,0.006147722,0,,,
137,206061137,Train_M,Train,Male,1466,1466,0,0,0,0.009262652,0,,,
138,206061138,Train_M,Train,Male,348,348,0,0,0,0.002198774,0,,,
