,SA2_MAINCODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,GreaterMelb
274,211011446,39,1675,658,335,1579,0.8,1310,2.4,1
275,211011447,40,1700,657,324,1717,0.8,1356,2.5,1
276,211011448,38,1733,672,351,1794,0.8,1574,2.7,1
277,211011449,38,1733,718,325,1916,0.8,1723,2.8,1
278,211021261,43,2167,706,396,2259,0.8,1945,2.9,1
279,211021262,43,2167,778,376,2541,0.8,2333,3.1,1
280,211031263,37,1697,711,311,1808,0.8,1519,2.7,1
281,211031265,39,1850,751,381,2228,0.8,2018,3,1
282,211031266,37,1800,654,335,1727,0.9,1360,2.4,1
283,211031267,39,1836,709,344,1974,0.8,1592,2.6,1
284,211031268,41,2000,732,381,2162,0.8,1910,2.8,1
285,211031450,37,1700,689,330,1668,0.8,1314,2.3,1
286,211031451,40,1926,646,347,1771,0.8,1388,2.5,1
287,211031452,37,1745,683,351,1833,0.8,1587,2.7,1
288,211041269,40,1950,582,360,1695,0.8,1344,2.6,1
289,211041270,38,2000,747,363,2048,0.9,1650,2.5,1
290,211041271,38,1950,663,350,1887,0.9,1510,2.6,1
291,211041272,40,2000,686,375,1951,0.8,1664,2.7,1
292,211041273,45,2000,590,441,1828,0.8,1665,2.9,1
293,211051274,39,1700,723,325,1956,0.8,1748,2.9,1
294,211051275,39,1820,688,380,1924,0.8,1728,2.8,1
295,211051276,43,1625,613,300,1577,0.8,1278,2.5,1
296,211051277,40,1733,655,350,1662,0.8,1343,2.5,1
297,211051278,39,1777,665,330,1758,0.8,1466,2.7,1
298,211051279,42,1733,635,320,1699,0.8,1505,2.8,1
299,211051280,41,1755,691,335,1957,0.8,1711,2.8,1
300,211051281,36,1800,687,350,1791,0.8,1594,2.8,1
301,211051282,44,1800,728,340,1982,0.8,1680,2.6,1
302,211051283,37,1733,678,310,1862,0.8,1655,2.9,1
303,211051284,40,1714,753,336,2038,0.8,1762,2.7,1
304,211051285,38,1733,686,320,1771,0.8,1611,2.9,1
305,211051286,42,1455,566,270,1399,0.8,1142,2.5,1
306,212011287,33,1950,792,351,2018,0.8,1875,2.9,1
307,212011288,42,1733,632,253,1762,0.8,1502,2.8,1
308,212011289,40,1733,700,321,1915,0.8,1716,2.9,1
309,212011290,39,1695,621,250,1545,0.8,1335,2.7,1
310,212011291,30,1627,684,315,1525,0.8,1371,2.7,1
311,212011292,32,1733,647,321,1562,0.8,1390,2.9,1
312,212021293,42,1733,678,341,1911,0.8,1558,2.7,1
313,212021294,33,1907,737,380,1971,0.9,1901,3.3,1
314,212021295,34,1350,449,280,1064,1,973,2.8,1
315,212021297,35,1560,488,323,1358,0.9,1297,3,1
316,212021299,41,2000,683,354,2178,0.8,2182,3.4,1
317,212021453,37,1696,583,330,1577,0.9,1485,3.1,1
318,212021454,38,1625,561,345,1551,0.9,1468,3,1
319,212021455,35,1600,630,340,1709,0.9,1619,3.1,1
320,212021456,34,1560,588,320,1468,0.9,1345,2.8,1
321,212031300,34,1517,593,300,1391,0.9,1251,2.8,1
322,212031301,31,1978,744,380,1763,0.9,1710,3.1,1
323,212031302,31,1754,668,345,1662,0.9,1591,3.2,1
324,212031303,37,2080,742,350,1990,0.8,1865,2.9,1
325,212031304,30,1733,707,336,1600,0.9,1564,3.1,1
326,212031305,33,1508,540,320,1358,1,1307,3.2,1
327,212031306,32,2000,732,381,1894,0.9,1948,3.5,1
