SA2_MAINCODE_2016,Train_M,Train_F,Train_O,Bus_M,Bus_F,Bus_O,Ferry_M,Ferry_F,Ferry_O,Tram_M,Tram_F,Tram_O,Taxi_M,Taxi_F,Taxi_O,Car_Driver_M,Car_Driver_F,Car_Driver_O,Car_Pass_M,Car_Pass_F,Car_Pass_O,Truck_M,Truck_F,Truck_O,Mbike_M,Mbike_F,Mbike_O,Bike_M,Bike_F,Bike_O,Other_M,Other_F,Other_O,Walk_M,Walk_F,Walk_O
203021037,69,40,-7,70,80,4,0,0,0,0,0,0,4,3,3,2341,2105,0,139,187,-4,22,0,2,20,3,-3,64,14,1,15,11,-5,67,68,2
203021038,59,53,6,67,84,5,4,3,-1,0,0,0,14,12,4,3422,2706,-5,301,296,-7,62,0,-1,21,7,-7,52,17,-8,32,18,-2,84,101,1
203021039,144,95,-3,54,54,-2,0,0,0,0,0,0,10,20,-5,1898,1708,6,115,183,-4,22,0,0,17,3,0,72,34,4,21,10,-5,283,409,1
203021040,164,105,-5,58,87,-4,3,3,0,0,0,3,15,7,6,3361,3024,0,177,229,3,36,0,0,23,0,3,121,30,3,28,8,6,173,215,2
203021041,130,60,1,65,79,-2,0,0,0,0,0,0,5,8,-3,4280,3690,4,208,274,-2,48,0,5,30,0,0,50,14,2,24,7,4,65,54,3
203021042,158,62,-2,70,55,0,5,0,0,0,3,1,10,7,3,3855,3403,-3,208,311,3,31,0,-3,23,0,-2,67,9,3,24,18,1,76,62,2
203021043,198,166,2,11,11,2,3,0,0,0,0,0,3,3,6,3123,2604,3,205,191,-4,66,0,4,26,4,-4,14,0,-3,24,16,2,56,51,-6
203021044,24,15,1,30,42,2,3,0,0,0,0,0,3,0,1,2327,2077,-2,111,142,3,36,0,4,11,0,2,8,3,-1,13,3,1,18,26,-5
203021045,55,25,1,46,57,-2,0,0,3,0,0,0,5,7,8,2252,1941,-2,157,171,0,43,0,3,17,4,-4,36,8,4,19,10,-5,56,43,2
203021046,109,59,2,20,25,-3,0,0,0,3,4,-1,9,5,4,1613,1485,-1,90,156,5,26,0,1,7,0,0,63,23,-1,12,11,-5,145,127,-6
203021047,94,63,0,42,54,-4,5,0,-2,0,0,0,13,4,-4,2304,1977,4,140,205,-5,33,0,2,22,0,-3,38,17,-2,23,3,2,63,48,4
203031048,28,18,1,34,32,-2,0,0,3,3,0,1,0,0,0,2147,1947,-1,123,127,6,38,0,0,17,0,-5,12,4,0,22,3,-2,37,34,-2
203031049,11,6,-2,7,4,-3,0,0,0,4,4,-4,0,0,0,739,654,-2,46,37,-8,16,0,0,4,0,0,8,12,0,10,7,4,68,72,-2
203031050,97,58,1,31,33,5,0,0,0,5,6,-1,0,3,0,4073,3570,-4,143,200,3,78,4,-1,19,0,2,60,21,-8,29,20,2,121,109,0
203031051,8,10,-4,11,10,5,0,0,0,0,0,0,0,0,0,863,721,-3,29,42,-5,13,0,0,9,0,6,7,0,3,5,3,0,33,33,-3
203031052,17,3,1,3,4,2,0,0,3,0,4,0,0,0,0,462,418,-3,16,20,-2,7,0,0,4,0,0,6,9,0,6,0,-1,34,30,6
203031053,90,67,2,24,26,0,0,0,0,4,5,-5,0,0,3,3234,2748,-2,153,175,5,42,0,0,11,0,7,47,16,0,26,15,2,92,107,-6
204011054,0,0,0,14,14,-4,0,0,0,0,0,3,0,0,0,885,741,-4,54,48,0,24,0,-2,11,3,3,18,0,2,14,11,3,95,102,-5
204011055,4,0,2,3,0,5,0,0,0,0,0,0,0,0,0,827,760,3,51,44,2,38,0,0,9,0,-5,9,9,-6,14,7,-3,79,75,-1
204011056,84,75,-2,8,0,2,0,0,0,0,0,0,0,0,0,2354,1902,1,131,125,5,63,3,-1,10,0,-3,9,0,0,14,13,-3,51,56,5
204011057,3,3,0,28,20,-6,0,0,0,0,3,0,0,3,0,1188,1069,6,103,80,1,34,0,0,3,0,0,22,8,1,36,20,-2,179,165,2
204011058,3,3,1,4,0,0,0,0,0,3,0,0,0,0,0,613,501,4,36,41,-4,17,0,1,7,0,2,3,8,5,6,4,4,58,43,-6
204011059,24,22,-4,0,5,0,0,0,0,0,0,0,4,3,-4,904,761,1,72,63,-6,22,0,0,5,0,0,19,0,0,7,0,1,61,70,-2
204011060,17,10,1,9,9,2,0,0,0,0,0,0,0,0,0,776,497,0,50,24,2,27,0,0,9,0,0,19,0,0,10,5,-1,173,35,-4
204011061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204011062,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,517,390,3,22,27,-2,20,0,-4,4,0,0,3,0,0,14,3,-5,43,35,-4
204021063,0,3,0,4,8,0,3,4,-4,0,3,0,6,0,0,1478,1288,1,98,98,1,33,0,0,10,0,0,30,16,-5,16,5,3,82,106,-5
204021064,0,0,3,4,0,-1,0,0,0,0,0,0,0,0,0,556,456,0,27,35,-3,30,7,-6,8,0,2,3,0,0,16,0,2,35,32,-1
204021065,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,640,574,1,35,34,1,11,0,0,3,0,0,8,0,5,3,0,0,42,36,-4
204021066,3,0,0,14,12,3,3,0,0,0,0,0,9,6,-3,2912,2597,3,185,207,2,37,0,0,16,6,-6,89,37,7,21,8,-2,168,206,-2
204021067,3,0,0,11,4,-3,0,0,0,0,4,0,3,4,0,1620,1404,1,65,91,-1,69,0,-1,21,9,2,13,0,-2,19,8,1,117,83,0
204031068,4,0,1,7,5,-3,0,0,0,0,0,0,0,0,0,637,619,-4,23,43,-7,10,0,0,5,0,0,12,4,-2,13,9,-3,53,68,2
204031069,5,0,0,20,19,0,0,0,0,0,0,0,0,0,4,1016,919,-5,78,105,6,25,0,0,16,3,6,32,19,-5,52,22,-1,195,178,-2
204031070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,524,-1,25,23,-6,29,0,0,6,0,0,0,0,0,4,0,0,14,19,-4
204031071,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,715,620,-5,42,50,-4,15,0,1,8,0,0,7,7,0,10,9,-6,58,50,-3
204031072,0,0,0,5,8,-3,0,0,0,0,0,0,0,0,0,849,688,-5,37,51,-2,27,5,-5,29,5,1,7,6,-6,20,10,-3,96,92,1
204031073,0,3,0,10,21,-4,3,3,0,0,0,0,0,7,4,2845,2482,1,178,189,-5,48,3,-2,29,0,0,45,9,-5,17,9,-1,47,49,-6
204031074,9,5,-3,30,24,-6,0,0,0,0,3,-3,9,10,2,4452,3643,-3,268,291,-2,68,3,6,36,0,5,83,17,2,52,22,-4,401,192,1
204031075,0,0,3,10,7,-3,0,0,0,0,0,0,3,0,0,769,733,-1,32,44,0,28,0,2,12,3,2,4,0,-1,11,9,-4,64,40,-5
205011076,68,49,-7,13,7,-3,0,0,3,0,0,3,6,3,-4,2645,2137,-2,130,114,3,76,0,1,21,5,-7,10,3,-1,13,12,1,72,62,1
205011077,6,3,2,5,4,0,0,0,0,0,0,0,0,0,0,929,744,0,34,56,-2,31,0,0,9,3,1,8,0,0,21,12,-6,71,39,5
205011078,8,12,8,9,4,0,0,0,0,0,0,0,0,0,0,1209,1058,-3,63,68,0,35,0,1,3,0,0,4,0,0,16,9,-3,72,53,-7
205011079,75,55,-1,20,8,2,0,0,0,3,0,0,11,3,3,3083,2661,9,223,223,-4,65,3,6,19,8,3,19,4,1,34,12,3,144,111,4
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
205021081,0,3,1,13,10,-5,0,0,0,0,0,0,6,5,-2,2129,1917,-2,141,155,-1,44,0,0,12,0,2,48,18,0,19,5,3,78,99,5
205021082,3,0,3,16,9,-6,0,0,0,0,0,0,0,0,0,1201,1011,5,58,75,0,46,3,-2,10,0,0,11,0,0,30,13,-4,84,61,4
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,4,4,3,4,8,1,0,0,0,0,0,4,7,0,0,1169,1122,4,82,91,1,35,0,-2,0,0,0,7,4,2,33,13,-3,60,63,4
205021085,3,3,-3,4,0,4,0,0,0,0,0,0,0,0,0,641,596,2,41,32,1,28,0,0,9,0,0,18,17,-6,23,7,-3,119,99,0
205021086,0,0,4,6,0,0,4,0,0,0,0,0,3,0,0,727,675,1,39,45,2,20,0,0,3,0,0,4,0,0,11,0,6,33,25,5
205031087,0,0,0,11,3,-4,0,0,0,0,0,0,3,0,0,1060,899,1,40,63,5,26,3,0,25,3,2,8,3,2,27,13,-3,146,96,7
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205031089,0,3,0,3,6,5,0,0,0,0,0,0,0,0,0,1380,1182,6,85,79,1,52,0,3,14,3,3,3,0,0,19,5,3,77,66,7
205031090,3,5,2,16,6,-4,0,0,0,3,0,-3,0,0,0,1656,1386,-1,92,92,-1,34,0,2,23,3,2,18,3,-5,20,13,0,152,127,3
205031091,13,3,1,17,9,-6,0,0,0,3,0,0,3,0,0,1403,1245,0,76,86,0,28,0,6,7,6,6,25,9,4,13,5,4,74,73,-1
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
205031093,8,3,3,17,13,2,0,0,0,9,0,-4,0,4,-1,3017,2529,4,170,163,-3,63,0,-2,14,0,0,46,12,1,32,18,0,164,166,1
205041094,11,3,-1,19,18,-5,3,0,-3,0,0,0,0,0,0,1851,1648,2,90,109,2,37,0,0,15,3,-2,4,0,5,14,8,0,53,36,5
205041095,33,19,-1,34,16,0,0,4,0,0,0,0,11,3,1,2341,2041,1,164,148,4,33,0,0,15,0,0,14,6,4,14,7,-4,48,51,-3
205041096,25,12,5,20,19,3,0,0,0,0,0,0,8,7,-6,1710,1461,0,126,120,7,32,0,0,11,0,0,11,9,1,20,7,-3,63,53,0
205041097,21,17,-1,49,38,-4,3,0,0,3,0,1,13,18,-5,4674,4161,-2,288,289,6,44,3,-1,24,3,-2,47,8,-2,43,10,5,131,130,-1
205041098,0,4,-1,3,0,3,0,0,0,0,0,0,0,0,0,865,699,-1,36,35,-4,26,0,0,5,0,1,0,0,3,6,0,1,13,13,4
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
205051100,0,3,2,8,0,0,0,0,0,0,0,0,0,0,0,561,467,0,25,46,0,12,0,0,11,3,0,8,0,1,25,3,3,73,26,3
205051101,9,4,-1,13,8,6,0,0,3,0,0,0,4,0,0,2096,1843,1,124,124,0,55,4,5,36,9,0,29,3,-1,48,13,3,145,104,-1
205051102,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,612,539,2,30,20,0,22,0,0,24,8,0,0,3,0,12,8,-6,48,42,7
205051103,4,3,-3,20,3,-2,0,0,0,0,0,0,7,11,-3,2245,2010,-4,182,204,0,23,0,-2,14,0,0,71,26,6,68,9,5,131,148,-4
205051104,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,660,591,1,41,34,1,23,0,-3,18,7,3,10,4,-2,21,13,-4,58,59,2
206011105,718,687,6,35,41,0,6,0,0,1054,1425,-2,15,20,0,2564,2242,0,105,195,-4,16,0,0,92,9,8,1081,757,-2,57,32,2,320,362,2
206011106,42,45,0,20,28,-2,0,0,0,737,1000,-2,9,8,5,1153,1090,7,48,86,-4,12,0,0,38,5,-3,423,300,2,24,15,4,129,151,1
206011107,119,129,-2,26,46,1,0,0,0,566,639,-1,13,7,1,1661,1459,4,80,135,3,14,0,0,46,18,-1,385,236,-4,18,21,1,74,119,-2
