SA2_MAINCODE_2016,Train_M,Train_F,Train_O,Bus_M,Bus_F,Bus_O,Ferry_M,Ferry_F,Ferry_O,Tram_M,Tram_F,Tram_O,Taxi_M,Taxi_F,Taxi_O,Car_Driver_M,Car_Driver_F,Car_Driver_O,Car_Pass_M,Car_Pass_F,Car_Pass_O,Truck_M,Truck_F,Truck_O,Mbike_M,Mbike_F,Mbike_O,Bike_M,Bike_F,Bike_O,Other_M,Other_F,Other_O,Walk_M,Walk_F,Walk_O
207021159,40,30,-3,266,270,-1,0,0,0,3,0,0,5,0,3,2777,2249,-1,110,239,2,28,0,0,16,0,3,6,0,7,18,13,-4,38,28,-8
207021160,20,20,2,282,274,-3,0,0,0,0,0,3,9,4,-1,2115,1664,-3,87,164,2,21,0,0,13,4,0,19,0,0,18,11,1,14,28,3
207021424,43,34,-7,304,280,-2,0,0,0,0,3,0,3,0,0,2435,1965,0,99,183,2,30,0,0,18,0,0,11,0,0,21,16,-2,24,26,-5
207021425,54,46,2,294,315,-7,0,0,0,3,0,0,4,7,0,2010,1617,-2,72,199,6,26,0,0,13,0,0,9,3,5,18,11,-3,40,52,0
207031161,712,535,-2,101,119,-3,0,0,0,4,9,-1,8,10,1,3024,2548,0,127,260,-2,28,0,0,27,0,3,87,18,2,39,15,0,112,103,2
207031162,157,118,3,32,44,-5,0,0,0,5,8,3,3,0,4,1535,1395,-5,70,117,2,23,0,0,13,0,-5,26,0,0,16,3,0,34,34,-1
207031163,606,523,-5,91,131,4,0,0,0,37,43,0,7,3,-1,2384,1987,2,101,210,-1,22,0,-1,31,3,-1,60,10,-2,22,10,0,235,288,0
207031164,302,231,3,126,157,3,0,0,0,19,16,-1,3,5,4,2579,2134,-2,99,223,-3,36,0,0,31,0,1,54,13,-1,26,10,3,107,147,2
207031165,108,106,-1,45,60,1,0,0,0,102,120,0,5,3,-3,1456,1208,0,77,144,-4,10,0,0,17,0,0,22,3,1,18,11,3,78,71,0
207031166,124,90,1,23,39,-2,0,0,0,59,51,-7,0,0,4,1553,1213,1,67,151,-1,14,0,0,11,0,-3,13,3,-1,21,10,3,29,26,0
207031167,445,371,-1,12,21,2,0,0,0,40,38,6,0,0,3,1384,1270,-2,49,99,-2,15,0,0,24,0,-4,43,4,7,10,7,5,74,73,0
208011168,201,139,6,21,24,-5,0,0,0,0,0,0,0,4,0,2141,1935,-1,72,119,3,21,0,0,18,4,-3,60,15,0,27,13,-3,37,66,3
208011169,846,695,6,27,24,-6,3,0,0,9,3,2,11,10,-4,3108,2518,1,84,163,6,12,0,0,30,7,-5,147,43,-2,52,19,0,133,163,0
208011170,362,273,5,18,18,-5,0,0,0,38,33,-1,14,9,-5,2335,2027,0,75,172,2,18,0,0,23,0,5,85,20,-5,33,13,2,52,50,0
208011171,326,278,-3,20,23,-4,0,0,0,0,0,0,3,3,3,1668,1510,-2,63,117,-2,9,0,0,28,3,-5,64,12,-5,20,4,-3,50,67,-3
208011172,586,459,2,20,33,7,0,0,0,4,9,-3,7,8,0,2518,2193,-1,82,139,1,17,0,0,25,5,-4,101,28,3,32,19,1,96,130,-1
208011173,470,352,4,19,32,8,0,0,0,0,0,0,8,4,4,2433,2103,1,87,137,-4,17,0,0,25,0,5,115,22,-1,27,10,0,91,108,1
208021174,789,614,5,42,48,6,0,0,0,15,10,0,3,3,5,3235,2884,-2,123,223,3,31,0,0,44,5,-3,134,26,-4,46,24,-6,115,154,5
208021176,957,874,1,47,57,1,0,0,0,31,68,-2,10,4,4,2457,1975,-3,95,140,-3,23,0,0,21,3,5,106,18,4,22,15,-7,79,128,0
208021177,603,502,5,28,39,-1,7,0,0,209,234,-1,16,8,-2,3040,2415,4,95,205,6,13,0,0,36,8,-5,147,44,-3,40,26,2,147,172,-4
208021178,357,287,-6,23,36,1,0,0,0,120,145,4,7,5,2,2687,2395,6,74,168,-2,33,0,1,29,3,0,94,9,2,20,20,-5,67,81,2
208021179,495,489,-1,18,58,-2,0,0,0,52,68,0,3,8,-1,1545,1373,-1,55,97,-4,9,0,0,32,0,0,105,36,6,17,18,3,109,125,-2
208021180,383,319,0,27,35,-3,3,0,0,4,3,-2,5,0,0,1088,914,3,51,71,0,8,0,0,7,0,2,31,11,-1,8,7,0,37,62,5
208021181,477,409,-3,26,24,5,0,0,0,3,3,-3,7,4,-1,1404,1156,-1,41,93,-6,11,0,3,11,0,0,53,18,6,15,7,-6,43,46,1
208021182,665,522,-3,52,51,4,0,0,0,52,35,-4,5,6,5,1841,1563,1,76,132,1,21,0,0,39,0,0,75,17,-4,23,13,1,70,103,3
208021426,271,222,-6,41,54,0,0,0,0,3,4,-3,10,9,-3,2324,2090,2,80,150,-8,39,0,0,22,0,0,69,16,-6,23,16,0,55,73,-2
208021427,204,167,-1,40,44,0,0,0,0,3,5,1,7,6,-1,2187,1865,-1,80,129,-1,28,0,-2,21,4,0,49,8,-1,13,10,-4,48,43,-3
208031183,117,121,-2,15,23,2,0,0,0,0,0,0,0,0,3,1767,1450,-3,71,119,0,17,0,0,11,0,0,19,3,4,13,8,3,15,17,3
208031184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
208031185,162,159,-5,9,8,-5,0,0,3,0,0,0,0,0,0,2162,1863,3,84,126,6,43,3,3,18,3,3,25,7,1,19,5,4,25,26,-1
208031186,341,312,1,15,14,4,0,0,0,3,4,-4,3,9,0,2379,2129,-2,82,103,0,30,0,0,19,0,1,26,6,1,16,13,-1,21,55,5
208031187,68,48,-5,5,12,1,0,0,0,0,0,0,0,0,0,999,849,-2,37,54,-1,16,0,0,10,0,0,14,8,-5,12,0,0,8,17,2
208031188,499,450,3,48,77,4,0,0,0,3,0,2,10,3,-3,3630,3162,-2,137,234,-2,50,0,3,39,0,-1,96,21,-3,36,26,-1,125,165,2
208031189,342,270,2,17,15,1,0,0,0,0,0,0,0,3,4,2250,1956,-1,72,112,7,25,3,2,29,0,-1,37,3,-3,19,10,0,31,49,5
208031190,370,301,3,40,46,0,0,0,0,0,0,0,10,3,-3,2119,1967,-6,90,117,0,35,0,0,34,0,0,46,7,3,22,8,6,60,85,-5
208031191,151,153,-4,23,31,-2,0,0,0,0,3,0,5,0,5,1432,1232,1,70,89,5,19,3,1,15,0,4,36,5,0,9,9,1,55,53,2
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,565,431,9,31,36,-4,3,0,0,0,4,-1,8,10,-7,3409,3068,-2,115,180,-2,39,0,0,22,0,5,93,26,1,24,11,1,78,98,5
208041194,806,687,-3,11,19,-5,0,0,4,184,259,7,11,12,0,2873,2446,-3,78,167,1,5,4,5,36,6,2,159,47,0,27,24,0,177,207,1
208041195,812,573,5,50,47,-7,0,0,0,48,59,-6,12,5,3,2954,2585,1,94,178,3,13,0,2,39,0,2,139,31,-2,37,16,0,127,194,3
209011196,111,93,1,22,32,-3,0,0,0,41,43,1,11,0,-2,1633,1234,3,80,132,4,24,0,0,11,0,7,20,4,-4,14,3,0,23,10,-3
209011197,463,364,5,41,43,5,0,0,0,0,0,7,7,7,-2,3561,3164,2,147,181,0,63,0,4,22,8,-2,45,3,-2,20,11,5,57,78,5
209011198,612,426,-4,49,42,-4,3,3,-2,0,7,0,8,0,-3,2007,1780,1,59,138,0,24,0,0,27,0,6,85,17,4,20,16,-7,94,173,-2
209011199,178,170,-2,119,127,-1,0,0,0,3,3,-1,20,4,-1,1908,1483,-2,89,160,-3,29,0,-5,40,7,-5,78,25,4,15,9,2,76,109,-4
209011200,480,455,-2,53,65,0,0,0,0,0,7,4,9,3,3,1591,1476,-1,63,122,-5,9,0,1,29,4,0,111,24,1,19,12,-2,86,129,0
209011201,260,203,5,18,12,0,0,0,0,0,6,0,3,0,0,1196,1018,2,40,105,7,10,0,0,14,0,2,69,3,2,14,6,-4,45,49,1
209011202,363,291,-2,37,57,-3,0,0,0,0,4,0,4,8,5,2759,2440,5,98,145,1,35,0,0,25,7,-8,45,8,-6,29,12,-1,45,53,2
209011203,505,413,-1,27,43,3,0,0,3,0,3,0,3,5,0,2829,2405,-6,105,159,2,33,0,-1,30,4,2,68,10,-4,36,18,0,212,60,-1
209011204,268,220,3,26,27,0,0,0,0,3,7,-5,8,3,4,1510,1238,-1,55,89,3,27,0,0,10,3,3,23,5,-1,9,4,6,31,23,-7
209021205,140,120,4,41,53,1,0,0,0,84,94,-2,8,3,0,1548,1214,3,71,155,-4,20,0,0,28,3,1,30,0,0,12,13,0,59,76,1
209021207,627,646,-5,81,108,-5,3,0,0,88,136,1,30,10,-4,3796,2801,0,184,256,2,80,0,0,57,9,-8,111,27,0,33,15,-5,72,84,3
209021208,578,612,2,56,66,0,3,0,0,77,128,-8,19,5,7,3491,2489,-2,156,220,1,77,3,3,38,12,-6,106,31,6,37,13,-4,58,54,1
209021428,520,505,1,82,111,-3,0,0,5,210,303,4,19,12,-3,2596,2091,3,118,211,0,22,0,4,58,7,0,241,114,-1,25,20,-5,137,144,-4
209021429,228,200,-1,31,29,-1,0,0,0,262,343,1,5,10,-3,1634,1421,5,79,96,0,17,0,3,38,3,2,196,82,0,17,18,-2,43,51,0
209031209,478,331,4,32,37,8,0,3,0,0,0,4,7,0,5,4072,3728,-4,173,197,-1,70,0,5,46,0,1,58,13,-7,41,18,0,78,87,-1
209031210,68,61,-2,0,3,2,0,0,0,0,0,0,0,0,0,648,588,3,33,25,-3,21,0,0,3,0,0,3,0,0,3,3,3,12,11,-5
209031211,7,3,2,6,3,-2,0,0,0,0,0,0,0,0,0,712,561,-1,29,30,-1,21,0,0,6,0,0,0,0,0,8,3,1,15,13,0
209031212,30,34,0,5,3,-1,0,0,0,0,3,-3,0,0,0,966,746,2,40,53,-2,37,3,-2,7,0,-4,3,0,0,10,5,-1,16,14,6
209031213,122,105,-2,17,11,-5,0,0,0,0,0,3,4,3,-4,1883,1509,-1,78,125,-1,62,0,0,14,0,-5,13,3,4,19,11,1,24,13,1
209031214,51,38,2,24,26,1,0,0,0,0,0,0,0,0,0,1254,1013,3,51,66,1,30,0,0,13,0,4,9,0,4,13,3,4,23,29,-5
209031215,224,186,-2,12,18,-3,5,0,0,0,0,3,3,0,0,2828,2435,-2,130,144,-2,51,0,0,18,3,2,20,0,0,20,7,-2,39,43,6
209041216,69,74,6,6,13,-1,0,0,0,31,40,6,4,0,0,1241,1005,2,68,85,1,21,0,0,7,0,2,8,0,0,14,0,-4,14,20,3
209041217,51,43,-2,16,15,-2,0,0,0,36,35,1,4,0,0,1029,763,4,54,50,-1,17,0,0,9,0,0,5,0,0,4,7,0,19,19,2
209041219,307,334,0,31,41,-2,3,0,0,4,6,4,24,3,4,3397,2162,-3,191,259,1,70,0,0,26,0,-1,13,0,2,23,9,5,35,36,-9
209041220,217,241,1,28,39,-1,0,0,0,16,9,-6,7,4,-3,3512,2797,2,173,235,-1,64,0,-3,17,0,1,17,3,-3,24,9,0,34,38,-2
209041221,118,138,5,24,35,-1,0,0,0,28,11,1,3,7,-3,2233,1747,6,106,139,2,41,0,0,18,0,-3,15,0,0,13,6,3,18,18,4
209041223,301,315,-2,37,41,-6,0,0,0,3,11,-1,35,5,-1,2959,1788,0,164,230,0,72,0,0,22,0,0,22,6,1,26,6,-3,30,45,0
209041224,135,161,-4,6,8,-1,0,0,0,0,0,0,0,0,0,3174,2309,0,164,145,-1,100,5,-3,14,0,1,5,0,1,17,15,-5,33,31,-2
209041225,13,19,0,6,7,-2,0,0,0,0,0,0,0,3,0,1468,1182,0,65,51,5,64,4,4,6,0,0,0,0,0,9,3,-3,16,30,-1
209041430,108,119,-6,27,15,-1,5,0,1,0,3,0,3,5,1,4211,3381,4,155,193,4,70,0,0,28,0,0,11,7,-2,19,11,-4,30,41,1
209041431,169,147,3,24,31,3,3,0,0,0,3,0,9,0,2,2363,1695,-3,114,137,1,66,0,2,7,0,0,12,3,-3,18,18,-4,18,12,3
209041432,171,134,0,31,38,2,0,0,0,0,0,0,8,0,3,1347,968,2,92,77,-2,31,0,-3,7,0,2,11,7,-4,13,11,-2,31,32,-5
209041433,167,139,2,14,34,-5,0,0,0,0,3,0,23,4,-1,1963,1404,-8,87,126,-5,34,0,0,16,0,1,3,0,0,17,13,-6,11,24,4
209041434,151,158,3,28,27,-1,0,0,0,6,3,-6,16,0,0,3161,2423,-6,104,170,-8,39,0,0,11,0,0,3,0,0,28,10,-6,25,27,-4
209041435,180,171,-5,16,25,0,0,0,0,0,0,3,13,0,0,2359,1883,1,98,140,-3,66,0,0,9,0,0,10,3,-4,23,6,-1,14,8,2
209041436,172,129,-1,19,27,4,7,0,-2,0,4,0,7,0,6,2212,1846,3,101,144,0,25,0,0,10,3,-4,4,3,4,14,4,-1,15,26,-1
209041437,120,115,-4,10,22,3,0,0,0,3,0,0,32,0,0,1696,1106,-3,49,101,-2,36,0,0,4,0,0,3,0,0,17,5,-2,14,3,1
210011226,64,81,-3,8,17,-4,0,0,0,37,52,1,3,6,1,1325,1121,-3,63,85,1,11,0,0,10,0,0,20,0,-1,16,9,-3,22,22,-3
210011227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210011228,58,46,5,7,15,2,0,0,0,0,3,0,3,0,0,1609,1250,1,78,98,-4,22,0,0,17,0,0,14,0,-4,8,3,6,16,12,5
210011229,184,191,0,41,74,1,0,0,0,23,33,1,9,10,4,4309,3378,5,178,296,2,71,0,2,44,0,1,41,0,0,39,24,1,50,46,-4
210011230,78,88,-2,6,4,4,0,0,0,24,39,6,3,0,2,1220,1052,-1,49,95,-4,15,0,0,9,3,5,24,3,1,11,5,1,20,38,7
210011231,228,194,8,4,10,2,0,0,0,6,27,1,0,0,0,1669,1363,-3,72,103,-1,15,0,-4,19,3,-2,51,4,2,21,13,-1,33,32,2
210021232,128,103,4,8,0,1,0,0,0,0,0,0,3,3,2,2301,1885,2,114,126,5,60,0,0,4,0,2,0,0,0,13,11,3,42,51,-3
210021233,36,41,8,3,0,0,0,0,0,0,0,0,0,0,3,550,401,-3,25,29,-2,6,0,0,3,0,0,7,0,0,8,3,-3,23,19,-6
210021234,66,63,-6,3,0,0,0,0,0,0,0,0,0,0,0,710,659,1,29,34,0,16,0,0,0,0,0,3,0,0,0,3,1,12,11,-1
210021235,34,32,-3,5,9,-3,0,0,0,0,0,4,4,0,0,1689,1251,0,71,76,-4,59,0,1,5,0,0,3,0,0,13,16,-2,48,42,-4
210031236,231,205,-7,7,9,-3,0,0,0,59,70,2,3,0,0,1056,795,5,46,86,-4,23,0,0,25,3,-1,86,41,2,4,7,5,37,31,-9
210031237,362,201,8,18,21,-3,0,0,0,3,17,6,18,4,5,1870,983,-1,85,111,4,31,0,0,17,0,4,33,3,0,26,15,7,36,48,-1
210031239,891,869,4,35,34,0,0,0,0,23,61,4,19,7,1,3752,2863,-1,162,237,4,49,3,-4,58,6,2,103,18,-2,37,15,-5,64,83,3
210031438,754,706,1,34,61,-4,3,0,0,3,10,6,25,6,8,3247,1995,-5,157,221,-7,62,0,1,24,3,-2,35,19,0,33,13,0,56,75,-1
210031439,26,19,4,0,8,-3,0,0,0,6,6,3,0,0,0,560,491,-3,26,35,1,9,0,0,9,0,2,5,0,-2,3,3,-3,3,0,0
210031440,69,59,-3,3,15,-3,0,0,0,0,0,6,8,0,-4,847,584,0,37,44,-1,19,0,0,3,0,4,6,3,7,8,3,1,10,12,-2
210041240,152,141,1,14,19,1,0,0,0,3,0,0,3,3,-2,2346,1960,0,132,135,0,57,0,0,12,3,-4,11,0,0,14,12,0,33,31,0
210041241,399,390,-5,24,33,2,3,0,0,0,0,3,8,3,2,4929,4036,4,281,284,-4,101,0,4,31,5,-1,11,0,5,33,12,-2,62,74,0
210051242,180,133,6,57,45,-3,0,0,0,0,3,0,17,9,-3,1605,764,0,120,120,4,21,0,0,10,0,1,8,0,2,26,5,3,25,32,3
210051243,116,111,5,15,25,4,0,0,0,0,0,0,15,4,-5,1885,934,-3,126,114,-1,54,4,-4,13,0,-4,13,0,0,30,6,6,50,24,-1
210051245,129,152,-4,52,51,-2,0,0,0,7,17,-3,12,5,2,3191,2595,-3,157,213,6,48,0,2,24,3,-1,16,0,0,33,13,1,18,30,-3
210051246,128,129,7,15,11,2,0,0,0,5,3,2,15,3,-1,3458,2534,2,157,223,-5,83,0,0,4,0,0,8,0,0,31,18,-2,15,16,3
210051247,110,86,-4,22,19,5,0,0,0,0,0,3,25,0,-1,1893,1151,3,124,139,0,47,0,3,6,0,0,3,0,0,21,7,2,16,13,0
210051248,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,9,1,0,3,0,0,3,0,0,0,0,0,0,3,4,0,0,3,0,4
210051249,210,246,-3,27,34,-2,3,0,0,0,0,0,16,3,-1,3156,2011,-5,180,268,-2,64,0,0,6,0,0,6,0,-1,29,12,1,20,14,-2
210051250,21,42,-2,19,18,1,0,0,0,7,15,7,0,3,6,1193,926,-8,63,80,-8,26,0,0,14,0,0,9,0,-1,11,0,0,27,16,-2
210051441,90,125,-1,16,15,-3,0,0,0,0,0,0,5,0,0,1486,984,-2,113,92,-3,44,3,-4,10,0,0,4,3,3,10,6,1,17,25,-1
210051442,137,135,6,13,14,2,0,0,0,0,0,0,14,4,-3,2110,1399,-4,111,132,2,42,0,0,10,3,-2,8,3,-3,17,7,4,12,20,0
210051443,238,257,4,23,29,-2,0,0,0,3,0,0,27,4,0,2963,1955,3,183,195,-1,71,0,0,19,0,-3,8,0,0,24,12,-3,15,26,-7
210051444,187,210,8,26,37,-3,0,0,0,0,3,-3,40,3,0,2411,1477,-1,108,161,0,46,0,3,9,0,2,3,4,-3,28,9,-3,17,25,-5
210051445,29,37,4,3,0,2,0,0,0,0,0,0,4,0,1,696,545,-4,23,48,-4,28,0,0,3,0,0,0,0,0,9,3,-1,5,6,3
211011251,203,156,8,20,31,4,0,0,0,0,0,0,4,3,2,2166,1794,0,96,124,-1,43,0,0,28,0,1,21,4,0,11,13,5,44,41,2
211011254,108,79,1,47,57,-3,0,0,0,0,0,3,0,3,0,2925,2411,-4,124,185,-3,29,0,5,12,6,-6,18,4,-6,22,14,-5,37,26,-2
211011255,41,14,5,8,10,3,0,0,0,0,0,0,0,0,0,1544,1245,-2,67,79,2,27,0,0,3,0,0,4,3,2,6,0,1,10,9,6
211011256,86,64,4,45,45,-4,0,0,0,0,0,0,6,4,-2,3220,2705,2,154,206,5,36,0,0,24,3,-5,18,0,-2,18,15,1,29,31,-1
211011257,67,52,-7,8,16,7,0,0,0,0,0,0,6,3,1,1653,1409,0,79,116,-3,19,0,-3,10,0,0,13,3,-4,18,4,-2,9,17,-2
211011258,43,41,4,15,15,5,0,0,0,0,0,0,0,4,2,2297,1880,-1,117,148,3,29,0,4,10,0,0,10,0,2,23,11,-2,19,21,-1
211011259,144,89,0,38,43,-6,0,0,0,5,3,2,3,7,-2,2503,2146,1,85,176,4,46,0,0,16,0,5,20,0,-1,18,6,-1,50,48,0
211011260,152,113,-4,66,61,3,0,0,0,0,0,0,6,0,0,3161,2789,3,132,239,-3,41,0,0,17,0,0,19,7,-2,26,16,-8,47,44,2
211011446,314,264,3,60,42,-1,0,0,0,0,3,0,12,6,4,4019,3408,6,177,200,9,68,0,5,38,3,-5,38,6,-1,28,8,0,61,64,-2
211011447,182,141,0,30,43,-2,4,0,0,3,5,-3,0,4,-1,2539,2153,-3,110,122,2,43,0,0,22,0,0,17,0,4,14,4,8,37,39,-5
211011448,153,114,4,39,21,-1,0,0,0,0,3,0,7,4,-1,2952,2482,0,149,167,-2,52,0,4,20,5,2,22,7,2,12,15,3,42,43,1
211011449,29,29,3,4,4,1,3,0,0,0,0,0,0,0,0,874,718,-1,38,42,-9,30,0,0,9,0,0,7,0,0,0,3,0,13,8,-4
211021261,120,94,-1,120,114,1,0,0,0,0,0,0,5,0,4,2755,2249,0,97,187,-5,56,0,0,19,0,2,27,0,0,19,9,1,37,33,8
211021262,45,40,0,64,58,-4,0,0,0,0,0,0,4,3,0,2003,1555,7,67,99,2,46,0,0,15,0,0,12,3,-3,13,12,-2,39,49,3
211031263,101,87,2,32,18,-3,0,0,0,0,0,0,3,4,-3,2380,1926,3,114,126,2,51,0,0,9,0,4,30,0,2,14,9,2,49,26,6
211031265,223,161,-2,23,31,8,3,0,0,0,0,0,5,0,2,3561,3226,1,182,185,-3,63,0,6,24,0,-1,19,0,-1,17,9,6,43,34,-2
211031266,416,322,-5,49,54,-4,0,0,0,0,3,0,4,3,4,2796,2319,1,139,187,-7,37,0,2,29,4,2,20,10,-5,20,7,1,84,86,1
211031267,571,410,1,40,30,-5,0,0,0,0,0,0,10,3,3,3403,2871,-2,149,206,-6,46,0,2,22,4,-3,36,11,4,18,4,3,83,83,2
211031268,149,82,0,19,24,-5,0,0,0,0,0,0,0,0,0,1738,1480,-3,56,102,3,26,3,-5,20,0,0,17,0,-3,9,0,1,23,17,1
211031450,240,209,4,34,29,-5,4,3,1,0,0,0,7,4,0,2601,2390,6,132,132,1,44,0,0,19,0,1,18,3,4,24,5,-2,46,40,0
211031451,215,173,0,27,27,4,0,0,0,0,0,0,6,3,5,2145,1933,3,116,138,1,33,0,1,15,0,1,16,0,6,15,3,0,41,38,-2
211031452,44,59,2,5,4,-3,0,0,0,0,3,0,0,0,0,892,751,0,34,33,1,18,0,0,3,0,0,8,0,-1,7,0,-1,9,4,6
211041269,171,128,-1,37,38,4,0,0,0,3,3,1,4,3,0,1601,1322,3,67,124,0,17,0,0,13,0,0,18,3,-2,9,8,-4,47,47,-1
211041270,675,510,-3,48,44,1,0,0,0,3,7,1,6,0,3,2476,2179,0,99,162,2,30,3,-7,32,3,-3,44,14,-3,17,20,-9,62,68,0
211041271,409,299,-4,60,52,6,0,0,0,3,0,0,6,4,-2,1784,1451,5,82,126,4,30,0,0,15,3,2,28,10,1,9,9,-3,39,43,2
211041272,191,137,-1,14,20,0,0,0,0,0,3,2,3,3,-2,1679,1460,-4,70,100,-4,16,0,0,11,0,1,14,3,2,17,3,-4,24,26,0
211041273,126,107,-1,30,30,6,0,0,0,31,17,1,10,3,-1,1858,1572,2,69,154,-3,28,0,0,11,0,1,27,0,1,19,7,-3,30,27,-3
211051274,144,116,-5,20,18,-2,0,0,0,0,0,0,4,0,0,1892,1605,-1,73,83,-5,51,0,0,25,0,2,13,0,0,15,9,1,46,38,3
211051275,97,60,1,18,21,-1,3,0,0,3,0,0,7,0,0,2006,1602,-3,113,96,-5,39,0,0,10,0,5,6,0,0,10,0,2,16,22,0
211051276,27,23,-5,16,15,2,0,0,0,0,0,0,0,3,0,2313,1928,-3,123,107,-2,84,0,4,12,0,4,17,4,0,18,11,0,82,83,2
211051277,65,49,-3,14,17,6,0,0,0,0,0,0,3,0,0,1674,1440,5,97,58,2,44,0,0,15,0,1,10,3,2,12,3,-2,29,26,1
211051278,173,129,-1,32,33,-8,0,0,4,0,0,0,4,0,0,3566,3024,-1,174,195,-4,101,4,-1,16,0,0,13,3,1,20,3,7,73,64,-1
211051279,16,14,1,6,7,1,0,0,0,0,0,0,0,0,0,1063,817,-5,49,62,-3,34,0,0,7,0,0,3,0,0,9,4,0,47,35,-5
211051280,47,35,-3,10,9,6,0,0,0,0,0,0,0,0,0,1329,1076,-2,77,69,2,31,0,0,7,0,0,3,0,5,5,6,-1,12,16,3
211051281,330,252,0,24,23,1,3,0,1,0,0,0,5,0,1,4314,3599,-1,216,220,3,86,3,1,27,0,1,13,3,-3,22,12,-8,36,34,0
211051282,83,63,-3,14,11,-2,4,0,0,0,3,0,3,0,-3,1733,1463,0,53,93,4,29,0,0,22,3,0,13,0,-2,9,16,6,40,36,1
211051283,58,53,-3,18,18,2,0,0,3,0,0,0,0,0,0,1988,1587,3,107,93,3,79,0,-3,11,0,0,8,3,-5,3,7,1,28,28,-7
211051284,195,142,-4,9,8,2,0,0,3,0,0,0,0,0,0,1866,1677,0,69,89,-3,31,0,4,21,0,-2,18,0,-4,10,3,4,30,36,-4
211051285,22,19,2,10,6,7,0,0,0,0,0,0,0,0,0,1547,1263,-1,88,60,-1,88,0,0,5,0,4,0,0,0,8,4,-1,40,35,5
211051286,12,19,0,31,20,-1,0,0,0,0,0,0,4,0,0,2873,2216,-1,139,110,-1,99,0,-4,20,0,0,8,7,-3,27,18,-7,76,63,-7
212011287,177,139,-4,11,11,0,0,0,0,0,0,0,0,0,4,2720,2292,0,157,153,3,64,0,0,7,0,3,5,4,0,17,12,2,43,30,-1
212011288,45,45,-3,4,7,-6,0,0,0,0,3,1,0,0,0,1562,1221,1,65,70,-3,99,5,0,14,0,-1,4,3,-4,10,9,-1,54,40,2
212011289,57,35,-2,20,12,-5,0,0,0,0,0,0,4,3,-3,3672,2870,8,155,159,-5,117,3,-4,23,0,-1,5,4,-3,24,17,0,71,63,2
212011290,14,3,-6,6,0,-3,0,0,0,0,0,0,0,0,0,1351,1033,-1,77,58,4,72,3,5,15,0,-1,3,4,2,4,6,6,46,46,-2
212011291,174,135,-5,11,14,2,0,0,0,0,0,0,4,3,5,3484,2813,-1,206,179,-3,84,0,4,34,3,0,8,3,-2,19,11,2,34,26,0
212011292,321,241,4,20,19,3,0,0,0,3,0,0,16,3,-4,5028,3905,-2,288,277,1,87,3,1,35,3,5,25,8,1,37,21,2,49,79,-4
212021293,252,175,6,21,25,-2,3,0,1,0,4,-1,3,3,5,4220,3667,1,195,232,2,84,3,0,28,0,1,15,3,-4,23,14,-6,49,54,-3
212021294,371,255,-2,23,21,1,0,0,3,3,0,0,6,3,4,4999,3871,-3,263,336,-3,74,3,0,29,5,0,10,0,-4,42,25,-2,28,47,0
212021295,62,50,0,37,54,-3,0,0,0,0,0,0,7,4,-4,1813,872,4,129,104,-6,41,3,1,8,0,0,10,0,0,9,8,-1,17,18,-2
212021297,104,123,3,19,27,-4,3,0,0,0,0,0,12,4,-8,1848,1276,3,110,154,4,33,0,0,11,0,-3,11,0,0,17,7,3,19,18,4
212021299,40,40,-1,3,7,1,0,0,0,0,0,0,0,0,0,1568,1218,1,73,88,1,92,3,0,10,0,0,4,3,-4,7,8,2,15,7,0
212021453,77,50,2,13,16,3,0,0,0,0,0,0,5,4,2,2283,1745,-2,115,123,0,56,0,0,6,0,0,5,0,0,9,9,7,11,8,8
212021454,109,96,0,11,25,-4,0,0,0,0,0,0,10,0,0,2570,1938,-8,149,163,-2,50,0,0,7,0,1,3,0,5,21,9,3,13,19,5
212021455,130,80,-2,11,28,-2,0,0,0,0,0,0,4,4,-2,2770,2105,0,140,154,0,57,0,0,26,5,-4,3,0,7,18,10,-1,12,19,4
212021456,173,142,2,28,38,-3,4,0,0,0,0,0,9,4,-5,2672,1860,-1,141,172,-3,50,0,0,15,3,-7,7,0,0,24,6,-1,29,38,-2
212031300,158,178,3,23,32,-3,0,0,0,0,0,0,14,0,0,3650,2546,-4,229,196,7,93,3,-4,27,0,0,10,0,-1,32,18,-7,55,57,-1
212031301,296,279,2,32,37,-7,3,0,0,0,0,0,16,0,5,4882,3609,2,204,321,0,78,0,0,24,0,-4,9,0,0,46,12,-2,31,27,-1
212031302,236,169,-1,20,33,-2,0,3,0,0,0,0,8,3,1,3907,2889,9,207,263,4,71,0,0,27,0,0,8,0,-2,36,15,-5,26,27,-2
212031303,37,25,0,6,3,0,0,0,0,0,0,0,3,0,0,1815,1442,-3,70,84,-3,119,3,0,8,0,-2,6,0,0,9,10,5,40,31,-1
212031304,149,145,-3,17,18,0,0,0,3,0,0,0,13,6,-2,3122,2172,-1,162,197,0,64,0,0,21,0,4,7,0,0,28,7,0,28,16,4
